method,case_id,category,archive_name,member_name,context,tags,input_bytes,expected_status,expected_ok,expected_classified,expected_bytes_preserved,actual_ok,actual_classified,actual_bytes_preserved,filter_decision,extraction_outcome,outside_write_clean,link_behavior,metadata_behavior,parse_ok,zipfile_contrast,external_security_not_tested,tarfile_data_filter_available,tarfile_tar_filter_available,tarfile_fully_trusted_filter_available,correct,fail_reason,expected_fail_naive,elapsed_ms,output_chars,note
preserve_original_archive_bytes_baseline,T001,safe_regular_file,example_project,example_project/README.txt,safe_member,safe_regular_file,26,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.009208,107,preserved 26 bytes of member metadata
preserve_original_archive_bytes_baseline,T002,safe_regular_file,test_widget,test_widget/nested/config.json,safe_member,safe_regular_file,30,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.006183,107,preserved 30 bytes of member metadata
preserve_original_archive_bytes_baseline,T003,safe_directory,fictional_event,fictional_event/data/,safe_member,safe_directory,21,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.00426,107,preserved 21 bytes of member metadata
preserve_original_archive_bytes_baseline,T004,dot_component,toy_archive,toy_archive/./note.txt,safe_member,dot_component,22,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003808,107,preserved 22 bytes of member metadata
preserve_original_archive_bytes_baseline,T005,redundant_separator,demo_payload,demo_payload//safe.txt,safe_member,redundant_separator,22,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003588,107,preserved 22 bytes of member metadata
preserve_original_archive_bytes_baseline,T006,traversal_path,sample_bundle,../outside.txt,traversal_member,"traversal_path,naive_negative",14,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003426,107,preserved 14 bytes of member metadata
preserve_original_archive_bytes_baseline,T007,traversal_path,synthetic_report,sample_bundle/../../etc/passwd,traversal_member,"traversal_path,naive_negative",30,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003197,107,preserved 30 bytes of member metadata
preserve_original_archive_bytes_baseline,T008,absolute_path,example_note,/etc/passwd,absolute_path,"absolute_path,naive_negative",11,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003201,107,preserved 11 bytes of member metadata
preserve_original_archive_bytes_baseline,T009,absolute_path,example_project,/tmp/evil.txt,absolute_path,"absolute_path,naive_negative",13,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003114,107,preserved 13 bytes of member metadata
preserve_original_archive_bytes_baseline,T010,windows_drive_path,test_widget,C:/temp/file.txt,windows_path_caveat,windows_drive_path,16,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003187,107,preserved 16 bytes of member metadata
preserve_original_archive_bytes_baseline,T011,unc_path,fictional_event,//server/share/file.txt,windows_path_caveat,unc_path,23,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003141,107,preserved 23 bytes of member metadata
preserve_original_archive_bytes_baseline,T012,absolute_path,toy_archive,/leading/slash.txt,absolute_path,absolute_path,18,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003129,107,preserved 18 bytes of member metadata
preserve_original_archive_bytes_baseline,T013,backslash_path,demo_payload,demo_payload\subdir\file.txt,windows_path_caveat,backslash_path,28,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003082,107,preserved 28 bytes of member metadata
preserve_original_archive_bytes_baseline,T014,unicode_filename,sample_bundle,sample_bundle/café.txt,unicode_path,unicode_filename,23,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003687,107,preserved 23 bytes of member metadata
preserve_original_archive_bytes_baseline,T015,unicode_filename,synthetic_report,synthetic_report/café.txt,unicode_path,unicode_filename,27,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003307,107,preserved 27 bytes of member metadata
preserve_original_archive_bytes_baseline,T016,unicode_filename,example_note,example_note/📦.txt,unicode_path,unicode_filename,21,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.004293,107,preserved 21 bytes of member metadata
preserve_original_archive_bytes_baseline,T017,long_path,example_project,example_project/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/a/deep.txt,unicode_path,long_path,84,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003467,107,preserved 84 bytes of member metadata
preserve_original_archive_bytes_baseline,T018,shell_metachar_filename,test_widget,test_widget/sp ace $HOME `id`.txt,safe_member,shell_metachar_filename,33,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003278,107,preserved 33 bytes of member metadata
preserve_original_archive_bytes_baseline,T019,control_character_filename,fictional_event,"fictional_event/bad
name.txt",safe_member,control_character_filename,28,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003175,107,preserved 28 bytes of member metadata
preserve_original_archive_bytes_baseline,T020,symlink_inside,toy_archive,toy_archive/link_inside,symlink_caveat,symlink_inside,23,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003082,107,preserved 23 bytes of member metadata
preserve_original_archive_bytes_baseline,T021,symlink_outside,demo_payload,demo_payload/evil_link,symlink_caveat,"symlink_outside,naive_negative",22,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003208,107,preserved 22 bytes of member metadata
preserve_original_archive_bytes_baseline,T022,symlink_follow_caveat,sample_bundle,sample_bundle/tricky.txt,symlink_caveat,symlink_follow_caveat,24,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.002974,107,preserved 24 bytes of member metadata
preserve_original_archive_bytes_baseline,T023,hardlink_inside,synthetic_report,synthetic_report/hard_inside,hardlink_caveat,hardlink_inside,28,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.002986,107,preserved 28 bytes of member metadata
preserve_original_archive_bytes_baseline,T024,hardlink_outside,example_note,example_note/hard_evil,hardlink_caveat,"hardlink_outside,naive_negative",22,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003047,107,preserved 22 bytes of member metadata
preserve_original_archive_bytes_baseline,T025,special_file,example_project,example_project/dev_null,special_file_caveat,special_file,24,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003095,107,preserved 24 bytes of member metadata
preserve_original_archive_bytes_baseline,T026,fifo_file,test_widget,test_widget/my_fifo,special_file_caveat,fifo_file,19,error,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003167,107,preserved 19 bytes of member metadata
preserve_original_archive_bytes_baseline,T027,permission_metadata,fictional_event,fictional_event/suid_bin,metadata_caveat,permission_metadata,24,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.002996,107,preserved 24 bytes of member metadata
preserve_original_archive_bytes_baseline,T028,permission_metadata,toy_archive,toy_archive/executable.sh,metadata_caveat,permission_metadata,25,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003,107,preserved 25 bytes of member metadata
preserve_original_archive_bytes_baseline,T029,ownership_metadata,demo_payload,demo_payload/owned.txt,metadata_caveat,ownership_metadata,22,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003027,107,preserved 22 bytes of member metadata
preserve_original_archive_bytes_baseline,T030,mtime_metadata,sample_bundle,sample_bundle/timed.txt,metadata_caveat,mtime_metadata,23,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003011,107,preserved 23 bytes of member metadata
preserve_original_archive_bytes_baseline,T031,pax_metadata,synthetic_report,synthetic_report/pax.txt,metadata_caveat,pax_metadata,24,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.002989,107,preserved 24 bytes of member metadata
preserve_original_archive_bytes_baseline,T032,duplicate_member,example_note,example_note/dup.txt,safe_member,duplicate_member,20,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003072,107,preserved 20 bytes of member metadata
preserve_original_archive_bytes_baseline,T033,duplicate_member,example_project,example_project/conflict,safe_member,duplicate_member,24,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.002979,107,preserved 24 bytes of member metadata
preserve_original_archive_bytes_baseline,T034,partial_extraction,test_widget,test_widget/partial.txt,metadata_caveat,partial_extraction,23,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003081,107,preserved 23 bytes of member metadata
preserve_original_archive_bytes_baseline,T035,data_filter,fictional_event,fictional_event/safe.txt,filter_behavior,data_filter,24,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.003024,107,preserved 24 bytes of member metadata
preserve_original_archive_bytes_baseline,T036,tar_filter,toy_archive,toy_archive/safe.txt,filter_behavior,tar_filter,20,success,True,False,True,True,False,True,,,,,,,,,,,,True,,False,0.002936,107,preserved 20 bytes of member metadata
